absence possibility,Social drinker,has pet,has child,Social smoker,Pet,ID,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Distance from Residence to Work,Hit target,Disciplinary failure,Education,Child number,BMI
0.9,1,1,1,0,1,11,7,3,1,289,36,13,33,239554,97,0,1,2,30
0.7,1,0,1,0,0,36,7,3,1,118,13,18,50,239554,97,1,1,1,31
0.3,1,0,0,0,0,3,7,4,1,179,51,18,38,239554,97,0,1,0,31
0.8,1,0,1,1,0,7,7,5,1,279,5,14,39,239554,97,0,1,2,24
0.9,1,1,1,0,1,11,7,5,1,289,36,13,33,239554,97,0,1,2,30
0.3,1,0,0,0,0,3,7,6,1,179,51,18,38,239554,97,0,1,0,31
0.9,1,1,1,0,4,10,7,6,1,361,52,3,28,239554,97,0,1,1,27
0.7,1,0,1,0,0,20,7,6,1,260,50,11,36,239554,97,0,1,4,23
0.7,1,0,1,0,0,14,7,2,1,155,12,14,34,239554,97,0,1,2,25
0.6,0,1,1,0,1,1,7,2,1,235,11,14,37,239554,97,0,3,1,29
0.7,1,0,1,0,0,20,7,2,1,260,50,11,36,239554,97,0,1,4,23
0.7,1,0,1,0,0,20,7,3,1,260,50,11,36,239554,97,0,1,4,23
0.7,1,0,1,0,0,20,7,4,1,260,50,11,36,239554,97,0,1,4,23
0.3,1,0,0,0,0,3,7,4,1,179,51,18,38,239554,97,0,1,0,31
0.3,1,0,0,0,0,24,7,6,1,246,25,16,41,239554,97,0,1,0,23
0.3,1,0,0,0,0,3,7,2,1,179,51,18,38,239554,97,0,1,0,31
0.6,0,1,1,0,2,6,7,5,1,189,29,13,33,239554,97,0,1,2,25
0.6,0,1,1,0,1,33,8,4,1,248,25,14,47,205917,92,0,1,2,32
0,0,0,0,0,0,18,8,4,1,330,16,4,28,205917,92,0,2,0,25
0.3,1,0,0,0,0,3,8,2,1,179,51,18,38,205917,92,0,1,0,31
0.9,1,1,1,0,4,10,8,2,1,361,52,3,28,205917,92,0,1,1,27
0.7,1,0,1,0,0,20,8,6,1,260,50,11,36,205917,92,0,1,4,23
0.9,1,1,1,0,1,11,8,2,1,289,36,13,33,205917,92,0,1,2,30
0.9,1,1,1,0,4,10,8,2,1,361,52,3,28,205917,92,0,1,1,27
0.9,1,1,1,0,1,11,8,3,1,289,36,13,33,205917,92,0,1,2,30
0.4,1,0,0,1,0,30,8,4,1,157,27,6,29,205917,92,0,1,0,22
0.9,1,1,1,0,1,11,8,4,1,289,36,13,33,205917,92,0,1,2,30
0.3,1,0,0,0,0,3,8,6,1,179,51,18,38,205917,92,0,1,0,31
0.3,1,0,0,0,0,3,8,2,1,179,51,18,38,205917,92,0,1,0,31
0.7,0,1,1,1,5,2,8,5,1,235,29,12,48,205917,92,0,1,1,33
0.6,0,1,1,0,1,1,8,5,1,235,11,14,37,205917,92,0,3,1,29
0.7,0,1,1,1,5,2,8,2,1,235,29,12,48,205917,92,0,1,1,33
0.3,1,0,0,0,0,3,8,2,1,179,51,18,38,205917,92,0,1,0,31
0.9,1,1,1,0,4,10,8,2,1,361,52,3,28,205917,92,0,1,1,27
0.9,1,1,1,0,1,11,8,3,1,289,36,13,33,205917,92,0,1,2,30
0.3,1,0,0,0,0,19,8,5,1,291,50,12,32,205917,92,0,1,0,23
0.7,0,1,1,1,5,2,8,6,1,235,29,12,48,205917,92,0,1,1,33
0.7,1,0,1,0,0,20,8,6,1,260,50,11,36,205917,92,0,1,4,23
0,0,0,0,0,0,27,9,3,2,184,42,7,27,241476,92,0,1,0,21
0,0,0,0,0,0,34,9,2,2,118,10,10,37,241476,92,0,1,0,28
0.3,1,0,0,0,0,3,9,3,2,179,51,18,38,241476,92,0,1,0,31
0.7,1,0,1,0,0,5,9,3,2,235,20,13,43,241476,92,0,1,1,38
0.7,1,0,1,0,0,14,9,4,2,155,12,14,34,241476,92,0,1,2,25
0.9,1,1,1,0,1,15,9,5,2,291,31,12,40,241476,92,0,1,1,25
0.7,1,0,1,0,0,20,9,6,2,260,50,11,36,241476,92,0,1,4,23
0.9,1,1,1,0,1,15,9,2,2,291,31,12,40,241476,92,0,1,1,25
0.7,1,0,1,0,0,20,9,2,2,260,50,11,36,241476,92,1,1,4,23
0.6,0,1,1,0,2,29,9,2,2,225,26,9,28,241476,92,1,1,1,24
0.6,0,1,1,0,2,28,9,3,2,225,26,9,28,241476,92,0,1,1,24
0,0,0,0,0,0,34,9,3,2,118,10,10,37,241476,92,0,1,0,28
0.9,1,1,1,0,1,11,9,3,2,289,36,13,33,241476,92,1,1,2,30
0.7,1,0,1,0,0,36,9,3,2,118,13,18,50,241476,92,1,1,1,31
0.6,0,1,1,0,2,28,9,4,2,225,26,9,28,241476,92,0,1,1,24
0.3,1,0,0,0,0,3,9,4,2,179,51,18,38,241476,92,0,1,0,31
0.7,1,0,1,0,0,13,9,4,2,369,17,12,31,241476,92,1,1,3,25
0.6,0,1,1,0,1,33,9,6,2,248,25,14,47,241476,92,0,1,2,32
0.3,1,0,0,0,0,3,9,6,2,179,51,18,38,241476,92,0,1,0,31
0.7,1,0,1,0,0,20,9,6,2,260,50,11,36,241476,92,0,1,4,23
0.3,1,0,0,0,0,3,10,3,2,179,51,18,38,253465,93,0,1,0,31
0,0,0,0,0,0,34,10,3,2,118,10,10,37,253465,93,0,1,0,28
0.7,1,0,1,0,0,36,10,4,2,118,13,18,50,253465,93,1,1,1,31
0,0,0,0,0,0,22,10,5,2,179,26,9,30,253465,93,0,3,0,19
0.3,1,0,0,0,0,3,10,6,2,179,51,18,38,253465,93,0,1,0,31
0.6,0,1,1,0,2,28,10,6,2,225,26,9,28,253465,93,0,1,1,24
0.6,0,1,1,0,2,28,10,4,2,225,26,9,28,253465,93,0,1,1,24
0.6,0,1,1,0,1,33,10,4,2,248,25,14,47,253465,93,0,1,2,32
0.9,1,1,1,0,1,15,10,5,2,291,31,12,40,253465,93,0,1,1,25
0.3,1,0,0,0,0,3,10,4,2,179,51,18,38,253465,93,0,1,0,31
0.7,1,0,1,0,0,20,10,5,2,260,50,11,36,253465,93,0,1,4,23
0.9,1,1,1,0,1,15,10,3,2,291,31,12,40,253465,93,0,1,1,25
0.6,0,1,1,0,2,28,10,3,2,225,26,9,28,253465,93,0,1,1,24
0.9,1,1,1,0,1,11,10,4,2,289,36,13,33,253465,93,0,1,2,30
0.9,1,1,1,0,4,10,10,6,2,361,52,3,28,253465,93,0,1,1,27
0.7,1,0,1,0,0,20,10,6,2,260,50,11,36,253465,93,0,1,4,23
0.3,1,0,0,0,0,3,11,5,2,179,51,18,38,306345,93,0,1,0,31
0.6,0,1,1,0,2,28,11,4,2,225,26,9,28,306345,93,0,1,1,24
0.3,1,0,0,0,0,3,11,5,2,179,51,18,38,306345,93,0,1,0,31
0.5,0,0,1,1,0,17,11,5,2,179,22,17,40,306345,93,0,2,2,22
0.9,1,1,1,0,1,15,11,5,2,291,31,12,40,306345,93,0,1,1,25
0.7,1,0,1,0,0,14,11,2,2,155,12,14,34,306345,93,0,1,2,25
0.6,0,1,1,0,2,6,11,2,2,189,29,13,33,306345,93,0,1,2,25
0.9,1,1,1,0,1,15,11,2,2,291,31,12,40,306345,93,0,1,1,25
0.7,1,0,1,0,0,14,11,6,2,155,12,14,34,306345,93,0,1,2,25
0.5,0,0,1,1,0,17,11,4,2,179,22,17,40,306345,93,0,2,2,22
0.6,0,1,1,0,2,28,11,6,2,225,26,9,28,306345,93,0,1,1,24
0.7,1,0,1,0,0,20,11,6,2,260,50,11,36,306345,93,0,1,4,23
0.6,0,1,1,0,1,33,11,2,2,248,25,14,47,306345,93,0,1,2,32
0.6,0,1,1,0,2,28,11,3,2,225,26,9,28,306345,93,0,1,1,24
0.9,1,1,1,0,1,11,11,4,2,289,36,13,33,306345,93,0,1,2,30
0.6,0,1,1,0,1,33,12,3,3,248,25,14,47,261306,97,0,1,2,32
0,0,0,0,0,0,34,12,3,3,118,10,10,37,261306,97,0,1,0,28
0.7,1,0,1,0,0,36,12,4,3,118,13,18,50,261306,97,0,1,1,31
0.6,0,1,1,0,1,1,12,4,3,235,11,14,37,261306,97,0,3,1,29
0.6,0,1,1,0,2,28,12,5,3,225,26,9,28,261306,97,0,1,1,24
0.7,1,0,1,0,0,20,12,6,3,260,50,11,36,261306,97,0,1,4,23
0.9,1,1,1,0,4,10,12,4,3,361,52,3,28,261306,97,0,1,1,27
0.6,0,1,1,0,2,28,12,5,3,225,26,9,28,261306,97,0,1,1,24
0.7,1,0,1,0,0,20,12,6,3,260,50,11,36,261306,97,0,1,4,23
0.6,0,1,1,0,2,28,12,3,3,225,26,9,28,261306,97,0,1,1,24
0,0,0,0,0,0,34,12,6,3,118,10,10,37,261306,97,0,1,0,28
0.3,1,0,0,0,0,24,12,6,3,246,25,16,41,261306,97,0,1,0,23
0.6,0,1,1,0,2,28,12,6,3,225,26,9,28,261306,97,0,1,1,24
0.6,0,1,1,0,2,28,1,4,3,225,26,9,28,308593,95,0,1,1,24
0,0,0,0,0,0,34,1,2,3,118,10,10,37,308593,95,0,1,0,28
0,0,0,0,0,0,34,1,3,3,118,10,10,37,308593,95,0,1,0,28
0.7,1,0,1,0,0,14,1,3,3,155,12,14,34,308593,95,0,1,2,25
0.6,0,1,1,0,2,28,1,4,3,225,26,9,28,308593,95,0,1,1,24
0,0,0,0,0,0,27,1,5,3,184,42,7,27,308593,95,0,1,0,21
0.6,0,1,1,0,2,28,1,5,3,225,26,9,28,308593,95,0,1,1,24
0.6,0,1,1,0,2,28,1,6,3,225,26,9,28,308593,95,0,1,1,24
0,0,0,0,0,0,34,1,2,3,118,10,10,37,308593,95,0,1,0,28
0.6,0,1,1,0,2,28,1,3,3,225,26,9,28,308593,95,0,1,1,24
0,0,0,0,0,0,34,1,4,3,118,10,10,37,308593,95,0,1,0,28
0,0,0,0,0,0,34,1,5,3,118,10,10,37,308593,95,0,1,0,28
0,0,0,0,0,0,34,1,6,3,118,10,10,37,308593,95,0,1,0,28
0,0,0,0,0,0,22,1,3,3,179,26,9,30,308593,95,0,3,0,19
0.9,1,1,1,0,1,11,1,3,3,289,36,13,33,308593,95,0,1,2,30
0.6,0,1,1,0,2,28,1,3,3,225,26,9,28,308593,95,0,1,1,24
0.9,1,1,1,0,1,11,1,5,3,289,36,13,33,308593,95,0,1,2,30
0,0,0,0,0,0,27,2,6,3,184,42,7,27,302585,99,0,1,0,21
0.3,1,0,0,0,0,24,2,4,3,246,25,16,41,302585,99,0,1,0,23
0.3,1,0,0,0,0,3,2,4,3,179,51,18,38,302585,99,0,1,0,31
0.7,1,0,1,0,0,14,2,5,3,155,12,14,34,302585,99,0,1,2,25
0.6,0,1,1,0,2,6,2,5,3,189,29,13,33,302585,99,0,1,2,25
0.7,1,0,1,0,0,20,2,6,3,260,50,11,36,302585,99,0,1,4,23
0.9,1,1,1,0,1,11,2,6,3,289,36,13,33,302585,99,0,1,2,30
0,0,0,0,0,0,31,2,2,3,388,15,9,50,302585,99,0,1,0,24
0,0,0,0,0,0,31,2,3,3,388,15,9,50,302585,99,0,1,0,24
0.6,0,1,1,0,2,28,2,2,3,225,26,9,28,302585,99,0,1,1,24
0.6,0,1,1,0,2,28,2,3,3,225,26,9,28,302585,99,0,1,1,24
0,0,0,0,0,0,22,2,3,3,179,26,9,30,302585,99,0,3,0,19
0,0,0,0,0,0,27,2,3,3,184,42,7,27,302585,99,0,1,0,21
0.6,0,1,1,0,2,28,2,5,3,225,26,9,28,302585,99,0,1,1,24
0,0,0,0,0,0,18,2,2,3,330,16,4,28,302585,99,0,2,0,25
0,0,0,0,0,0,18,2,3,3,330,16,4,28,302585,99,0,2,0,25
0.6,0,1,1,0,2,28,2,4,3,225,26,9,28,302585,99,0,1,1,24
0.6,0,1,1,0,2,6,2,5,3,189,29,13,33,302585,99,0,1,2,25
0.3,1,0,0,0,0,19,3,3,4,291,50,12,32,343253,95,0,1,0,23
0.7,1,0,1,0,0,20,3,3,4,260,50,11,36,343253,95,0,1,4,23
0.4,1,0,0,1,0,30,3,3,4,157,27,6,29,343253,95,0,1,0,22
0.5,0,0,1,1,0,17,3,3,4,179,22,17,40,343253,95,0,2,2,22
0.9,1,1,1,0,1,15,3,4,4,291,31,12,40,343253,95,0,1,1,25
0.7,1,0,1,0,0,20,3,4,4,260,50,11,36,343253,95,0,1,4,23
0,0,0,0,0,0,22,3,5,4,179,26,9,30,343253,95,0,3,0,19
0.6,0,1,1,0,1,33,3,6,4,248,25,14,47,343253,95,0,1,2,32
0.7,1,0,1,0,0,20,3,6,4,260,50,11,36,343253,95,0,1,4,23
0.5,0,0,1,1,0,17,3,2,4,179,22,17,40,343253,95,0,2,2,22
0.7,1,0,1,0,0,14,3,2,4,155,12,14,34,343253,95,0,1,2,25
0.7,1,0,1,0,0,20,3,2,4,260,50,11,36,343253,95,0,1,4,23
0.7,1,0,1,0,0,14,3,3,4,155,12,14,34,343253,95,0,1,2,25
0.9,1,1,1,0,1,11,3,5,4,289,36,13,33,343253,95,0,1,2,30
0.5,0,0,1,1,0,17,3,5,4,179,22,17,40,343253,95,0,2,2,22
0.7,1,0,1,0,0,20,3,6,4,260,50,11,36,343253,95,0,1,4,23
0.6,0,1,1,0,2,28,3,6,4,225,26,9,28,343253,95,0,1,1,24
0.8,1,0,1,1,0,7,3,2,4,279,5,14,39,343253,95,0,1,2,24
0.3,1,0,0,0,0,3,3,3,4,179,51,18,38,343253,95,0,1,0,31
0.6,0,1,1,0,2,28,3,4,4,225,26,9,28,343253,95,0,1,1,24
0.6,0,1,1,0,2,28,3,2,4,225,26,9,28,343253,95,0,1,1,24
0,0,0,0,0,0,22,3,2,4,179,26,9,30,343253,95,0,3,0,19
0.6,0,1,1,0,2,28,3,3,4,225,26,9,28,343253,95,0,1,1,24
0.6,0,1,1,0,2,28,3,4,4,225,26,9,28,343253,95,0,1,1,24
0.3,1,0,0,0,0,3,3,4,4,179,51,18,38,343253,95,0,1,0,31
0.8,1,0,1,1,0,7,3,5,4,279,5,14,39,343253,95,0,1,2,24
0.6,0,1,1,0,2,28,3,6,4,225,26,9,28,343253,95,0,1,1,24
0.6,0,1,1,0,2,28,3,2,4,225,26,9,28,343253,95,0,1,1,24
0.9,1,1,1,0,1,15,4,4,4,291,31,12,40,326452,96,0,1,1,25
0.6,0,1,1,0,2,28,4,4,4,225,26,9,28,326452,96,0,1,1,24
0.7,1,0,1,0,0,14,4,3,4,155,12,14,34,326452,96,0,1,2,25
0.3,1,0,0,0,0,24,4,4,4,246,25,16,41,326452,96,0,1,0,23
0.7,1,0,1,0,0,14,4,5,4,155,12,14,34,326452,96,0,1,2,25
0.6,0,1,1,0,2,28,4,6,4,225,26,9,28,326452,96,0,1,1,24
0.7,1,0,1,0,0,20,4,6,4,260,50,11,36,326452,96,0,1,4,23
0.3,1,0,0,0,0,3,4,4,4,179,51,18,38,326452,96,0,1,0,31
0.7,1,0,1,0,0,36,4,5,4,118,13,18,50,326452,96,0,1,1,31
0.9,1,1,1,0,1,15,4,6,4,291,31,12,40,326452,96,0,1,1,25
0.3,1,0,0,0,0,24,4,6,4,246,25,16,41,326452,96,0,1,0,23
0.9,1,1,1,0,1,15,4,6,4,291,31,12,40,326452,96,0,1,1,25
0.6,0,1,1,0,1,33,4,6,4,248,25,14,47,326452,96,0,1,2,32
0.7,1,0,1,0,0,20,4,6,4,260,50,11,36,326452,96,0,1,4,23
0.9,1,1,1,0,1,11,4,3,4,289,36,13,33,326452,96,0,1,2,30
0.7,1,0,1,0,0,14,4,4,4,155,12,14,34,326452,96,0,1,2,25
0.7,0,1,1,1,4,23,4,4,4,378,49,11,36,326452,96,0,1,2,21
0.9,1,1,1,0,1,11,4,5,4,289,36,13,33,326452,96,0,1,2,30
0.6,0,1,1,0,1,1,4,6,4,235,11,14,37,326452,96,0,3,1,29
0.7,0,1,1,1,5,2,4,2,4,235,29,12,48,326452,96,1,1,1,33
0.9,1,1,1,0,1,11,5,4,4,289,36,13,33,378884,92,0,1,2,30
0.7,1,0,1,0,0,14,5,5,4,155,12,14,34,378884,92,0,1,2,25
0.7,1,0,1,0,0,14,5,2,4,155,12,14,34,378884,92,0,1,2,25
0.3,1,0,0,0,0,3,5,3,4,179,51,18,38,378884,92,0,1,0,31
0.6,0,1,1,0,2,28,5,3,4,225,26,9,28,378884,92,0,1,1,24
0,0,0,0,0,0,27,5,4,4,184,42,7,27,378884,92,0,1,0,21
0.3,1,0,0,0,0,3,5,3,4,179,51,18,38,378884,92,0,1,0,31
0.8,1,0,1,1,0,7,5,4,4,279,5,14,39,378884,92,1,1,2,24
0,0,0,0,0,0,18,5,4,4,330,16,4,28,378884,92,1,2,0,25
0.7,0,1,1,1,4,23,5,4,4,378,49,11,36,378884,92,1,1,2,21
0,0,0,0,0,0,31,5,4,4,388,15,9,50,378884,92,1,1,0,24
0.3,1,0,0,0,0,3,5,3,4,179,51,18,38,378884,92,0,1,0,31
0.7,1,0,1,0,0,36,5,4,4,118,13,18,50,378884,92,0,1,1,31
0.9,1,1,1,0,4,10,5,6,4,361,52,3,28,378884,92,0,1,1,27
0.3,1,0,0,0,0,24,6,2,1,246,25,16,41,377550,94,0,1,0,23
0.9,1,1,1,0,4,10,6,2,1,361,52,3,28,377550,94,0,1,1,27
0.3,1,0,0,0,0,24,6,3,1,246,25,16,41,377550,94,0,1,0,23
0.9,1,1,1,0,1,15,6,5,1,291,31,12,40,377550,94,0,1,1,25
0.3,1,0,0,0,0,24,6,6,1,246,25,16,41,377550,94,0,1,0,23
0.3,1,0,0,0,0,3,6,2,1,179,51,18,38,377550,94,0,1,0,31
0.7,1,0,1,0,0,14,6,2,1,155,12,14,34,377550,94,0,1,2,25
0.3,1,0,0,0,0,24,6,2,1,246,25,16,41,377550,94,0,1,0,23
0.7,1,0,1,0,0,36,6,4,1,118,13,18,50,377550,94,0,1,1,31
0.6,0,1,1,0,1,1,6,6,1,235,11,14,37,377550,94,0,3,1,29
0.7,1,0,1,0,0,36,6,3,1,118,13,18,50,377550,94,0,1,1,31
0.7,0,1,1,1,4,23,6,5,1,378,49,11,36,377550,94,0,1,2,21
0.3,1,0,0,0,0,3,6,6,1,179,51,18,38,377550,94,0,1,0,31
0.2,0,1,0,0,2,32,6,2,1,289,48,29,49,377550,94,0,1,0,36
0.6,0,1,1,0,2,28,6,5,1,225,26,9,28,377550,94,0,1,1,24
0.7,1,0,1,0,0,14,7,3,1,155,12,14,34,275312,98,0,1,2,25
0.7,1,0,1,0,0,36,7,4,1,118,13,18,50,275312,98,0,1,1,31
0,0,0,0,0,0,34,7,6,1,118,10,10,37,275312,98,0,1,0,28
